SubjID,ART_correct,vocab_correct,spell_correct
S101,40,33,55
S103,48,41,69
S104,41,42,62
S105,45,32,64
S106,42,44,77
S107,39,38,68
S108,44,42,69
S109,44,44,70
S110,42,29,68
S111,41,37,66
S112,38,37,69
S113,53,48,63
S114,38,32,51
S115,39,45,64
S116,43,46,64
S117,30,35,63
S118,44,46,67
S119,49,43,61
S12,39,34,71
S120,42,42,55
S122,40,31,61
S123,36,48,68
S124,44,48,64
S125,50,48,71
S127,48,32,66
S128,39,43,70
S129,50,48,52
S13,42,43,62
S130,49,49,69
S131,41,31,61
S132,49,33,66
S133,36,49,78
S134,43,46,71
S135,62,41,76
S136,49,34,67
S137,41,44,58
S138,43,44,61
S139,47,40,70
S140,45,44,71
S141,47,40,59
S142,43,49,60
S143,41,30,55
S144,44,45,62
S145,39,36,61
S146,46,39,74
S147,38,37,75
S148,41,,
S150,40,46,61
S151,,,57
S152,42,43,62
S153,39,49,74
S154,56,44,76
S155,39,41,58
S156,45,34,63
S157,38,37,60
S158,41,33,54
S159,38,47,64
S160,52,40,61
S161,44,27,
S162,,,64
S163,,44,58
S164,49,,58
S165,42,33,
S166,40,33,54
S167,41,41,57
S168,44,44,66
S169,43,42,66
S170,43,48,63
S171,37,40,62
S172,44,46,55