Base,STRING,target,affix,Source,WrdFrq,Log10WF,LogLNWF,BF,Log10BF,LogLNBF,LogBF,FS,BaseLength,WholeFormLength,cond_trig,word_trig,targ_type,FS_Split,BF_Split
bone,boneless,boneless,less,Graves,0.356957,-0.44738,-1.03014,1490,3.17319,7.30653,7.31,35,4,8,202,34,CW_L,Large,High
clean,cleaner,cleaner,er,XuTaft,9.8163,0.99195,2.28404,2854,3.45545,7.95648,7.96,29,5,7,202,15,CW_L,Large,High
collect,collector,collector,or,XuTaft,7.25812,0.86082,1.98212,3221,3.50799,8.07745,8.08,23,7,9,202,46,CW_L,Large,High
dance,dancer,dancer,er,FORD,6.42522,0.80789,1.86023,2003,3.30168,7.6024,7.6,16,5,6,202,11,CW_L,Large,High
doubt,doubtful,doubtful,ful,FORD,14.3378,1.15648,2.6629,4135,3.61648,8.32724,8.33,8,5,8,202,21,CW_L,Large,High
dream,dreamer,dreamer,er,Rastle,1.6063,0.20583,0.47393,2325,3.36642,7.75148,7.75,19,5,7,202,12,CW_L,Large,High
dry,dryness,dryness,ness,XuTaft,1.18986,0.0755,0.17384,2366,3.37401,7.76896,7.77,19,3,7,202,42,CW_L,Large,High
excite,excitement,excitement,ment,FORD,38.5513,1.58604,3.65199,1924,3.28421,7.56216,7.56,9,6,10,202,38,CW_L,Large,High
feed,feeder,feeder,er,FORD,1.13036,0.05322,0.12254,2806,3.44809,7.93952,7.94,11,4,6,202,14,CW_L,Large,High
guard,guarding,guarding,ing,RastleFiller,4.87841,0.68828,1.58482,2047,3.31112,7.62413,7.62,28,5,8,202,26,CW_L,Large,High
heat,heater,heater,er,FORD,2.85565,0.4557,1.0493,2881,3.45954,7.96589,7.97,15,4,6,202,16,CW_L,Large,High
hunt,hunter,hunter,er,FORD,11.8391,1.07332,2.47141,1762,3.24601,7.4742,7.47,18,4,6,202,10,CW_L,Large,High
laugh,laughing,laughing,ing,RastleFiller,44.0246,1.6437,3.78475,4181,3.62128,8.33831,8.34,18,5,8,202,27,CW_L,Large,High
lock,locker,locker,er,RastleFiller,5.29486,0.72385,1.66674,1654,3.21854,7.41095,7.41,18,4,6,202,8,CW_L,Large,High
paint,painter,painter,er,RastleFiller,19.3351,1.28635,2.96192,3666,3.56419,8.20686,8.21,17,5,7,202,18,CW_L,Large,High
park,parking,parking,ing,RastleFiller,14.8137,1.17066,2.69555,1945,3.28892,7.57302,7.57,9,4,7,202,25,CW_L,Large,High
profess,professor,professor,pr,RastleFiller,74.9609,1.87483,4.31697,3563,3.55182,8.17836,8.18,14,7,9,202,47,CW_L,Large,High
push,pusher,pusher,er,RastleFiller,0.475942,-0.32245,-0.74246,2507,3.39915,7.82684,7.83,17,4,6,202,13,CW_L,Large,High
quiet,quietly,quietly,ly,Rastle,57.8865,1.76258,4.05848,2691,3.42991,7.89767,7.9,18,5,7,202,36,CW_L,Large,High
rent,renter,renter,er,RastleFiller,0.118986,-0.9245,-2.12875,1690,3.22789,7.43248,7.43,13,4,6,202,9,CW_L,Large,High
shape,shapely,shapely,ly,XuTaft,2.55819,0.40793,0.9393,1909,3.28081,7.55433,7.55,12,5,7,202,35,CW_L,Large,High
strike,striker,striker,er,Graves,0.475942,-0.32245,-0.74246,3414,3.53326,8.13564,8.14,17,6,7,202,17,CW_L,Large,High
style,stylish,stylish,ish,XuTaft,2.32022,0.36553,0.84166,2119,3.32613,7.6587,7.66,16,5,7,202,29,CW_L,Large,High
wrong,wrongly,wrongly,ly,FORD,6.00877,0.77879,1.79322,3532,3.54802,8.16962,8.17,12,5,7,202,37,CW_L,Large,High
allow,allowance,allowance,ance,RastleFiller,18.4428,1.26583,2.91467,5014,3.70018,8.51999,8.52,5,5,9,201,5,CW_S,Small,High
attack,attacker,attacker,er,FORD,5.94928,0.77446,1.78327,3385,3.52956,8.12711,8.13,6,6,8,201,20,CW_S,Small,High
avoid,avoidable,avoidable,able,XuTaft,1.18986,0.0755,0.17384,2172,3.33686,7.6834,7.68,5,5,9,201,2,CW_S,Small,High
aware,awareness,awareness,ness,FORD,25.4629,1.40591,3.23722,2391,3.37858,7.77947,7.78,4,5,9,201,44,CW_S,Small,High
buy,buyer,buyer,er,FORD,4.04551,0.60697,1.39761,4386,3.64207,8.38617,8.39,3,3,5,201,21,CW_S,Small,High
campaign,campaigner,campaigner,er,FORD,1.78478,0.25158,0.5793,2003,3.30168,7.6024,7.6,3,8,10,201,15,CW_S,Small,High
cost,costly,costly,ly,FORD,11.3631,1.0555,2.43037,4215,3.6248,8.3464,8.35,6,4,6,201,36,CW_S,Small,High
designer,design,design,er,RastleFiller,81.6241,1.91182,4.40212,3296,3.51799,8.10046,8.1,7,8,6,201,19,CW_S,Small,High
destroy,destroyer,destroyer,er,FORD,3.92652,0.59401,1.36775,1906,3.28012,7.55276,7.55,3,7,9,201,14,CW_S,Small,High
effort,effortless,effortless,less,FORD,1.90377,0.27961,0.64384,2456,3.39023,7.80629,7.81,4,6,10,201,30,CW_S,Small,High
enjoy,enjoyment,enjoyment,ment,FORD,11.8391,1.07332,2.47141,2771,3.44264,7.92696,7.93,4,5,9,201,40,CW_S,Small,High
guilt,guilty,guilty,ly,RastleFiller,51.4612,1.71148,3.94083,1576,3.19756,7.36265,7.36,7,5,6,201,34,CW_S,Small,High
huge,hugely,hugely,ly,FORD,2.97464,0.47343,1.09012,1918,3.28285,7.55904,7.56,3,4,6,201,35,CW_S,Small,High
insist,insistent,insistent,ent,RastleFiller,4.58094,0.66095,1.5219,1631,3.21245,7.39695,7.4,5,6,9,201,9,CW_S,Small,High
listen,listener,listener,er,FORD,4.99739,0.69874,1.60892,3081,3.48869,8.03301,8.03,4,6,8,201,18,CW_S,Small,High
local,locally,locally,ly,FORD,10.8277,1.03454,2.38211,4485,3.65176,8.40849,8.41,7,5,7,201,37,CW_S,Small,High
notice,noticeable,noticeable,able,FORD,10.9467,1.03928,2.39304,3426,3.53479,8.13915,8.14,6,6,10,201,3,CW_S,Small,High
plan,planner,planner,er,FORD,2.61768,0.41792,0.96229,5475,3.73838,8.60795,8.61,4,4,7,201,22,CW_S,Small,High
rich,richness,richness,ness,FORD,5.23536,0.71895,1.65544,2868,3.45758,7.96137,7.96,7,4,8,201,45,CW_S,Small,High
risk,risky,risky,y,RastleFiller,5.83029,0.76569,1.76307,1827,3.26174,7.51043,7.51,5,4,5,201,50,CW_S,Small,High
seek,seeker,seeker,er,Rastle,0.773406,-0.11159,-0.25695,2155,3.33345,7.67555,7.68,7,4,6,201,16,CW_S,Small,High
sing,singer,singer,er,FORD,6.48471,0.81189,1.86945,2186,3.33965,7.68983,7.69,4,4,6,201,17,CW_S,Small,High
strange,strangeness,strangeness,ness,FORD,3.62906,0.55979,1.28897,2912,3.46419,7.9766,7.98,4,7,11,201,46,CW_S,Small,High
teach,teacher,teacher,er,RastleFiller,71.7483,1.85581,4.27316,5662,3.75297,8.64153,8.64,6,5,7,201,23,CW_S,Small,High
bark,barker,barker,er,Graves,3.80754,0.58064,1.33698,387,2.58771,5.95842,5.96,8,4,6,202,2,CW_L,Large,Low
blind,blindness,blindness,ness,FORD,4.52145,0.65528,1.50883,1024,3.0103,6.93147,6.93,16,5,9,202,40,CW_L,Large,Low
bomb,bomber,bomber,er,Rastle,2.97464,0.47343,1.09012,1208,3.08207,7.09672,7.1,24,4,6,202,7,CW_L,Large,Low
boot,bootless,bootless,less,Graves,0.0594928,-1.22554,-2.8219,940,2.97313,6.84588,6.85,19,4,8,202,32,CW_L,Large,Low
cloud,cloudless,cloudless,less,RastleFiller,1.42783,0.15468,0.35616,1181,3.07225,7.07412,7.07,14,5,9,202,33,CW_L,Large,Low
compose,composer,composer,er,FORD,6.66319,0.82368,1.8966,1187,3.07445,7.07918,7.08,13,7,8,202,6,CW_L,Large,Low
conduct,conductor,conductor,or,RastleFiller,6.72268,0.82754,1.90549,1084,3.03503,6.98841,6.99,16,7,9,202,44,CW_L,Large,Low
cool,cooling,cooling,ing,RastleFiller,6.06826,0.78306,1.80307,1434,3.15655,7.26822,7.27,14,4,7,202,24,CW_L,Large,Low
cream,creamy,creamy,y,RastleFiller,4.34297,0.63779,1.46856,792,2.89873,6.67456,6.67,10,5,6,202,49,CW_L,Large,Low
damp,dampish,dampish,ish,FORD,0.237971,-0.62348,-1.43561,621,2.79309,6.43133,6.43,11,4,7,202,28,CW_L,Large,Low
deaf,deafness,deafness,ness,FORD,2.08225,0.31853,0.73345,290,2.4624,5.66988,5.67,9,4,8,202,39,CW_L,Large,Low
edit,editor,editor,or,RastleFiller,27.5451,1.44004,3.31582,1298,3.11327,7.16858,7.17,12,4,6,202,45,CW_L,Large,Low
faith,faithful,faithful,ful,FORD,13.6238,1.1343,2.61182,1320,3.12057,7.18539,7.19,12,5,8,202,20,CW_L,Large,Low
flex,flexible,flexible,ible,RastleFiller,12.7909,1.1069,2.54873,664,2.82217,6.49828,6.5,16,4,8,202,22,CW_L,Large,Low
guile,guileless,guileless,less,Graves,0.416449,-0.38044,-0.87599,61,1.78533,4.11087,4.11,9,5,9,202,31,CW_L,Large,Low
jump,jumping,jumping,jumping,RastleFiller,17.6099,1.24576,2.86846,1395,3.14457,7.24065,7.24,15,4,7,202,30,CW_L,Large,Low
kick,kicking,kicking,ing,RastleFiller,13.7428,1.13808,2.62052,1012,3.00518,6.91968,6.92,15,4,7,202,23,CW_L,Large,Low
knock,knocker,knocker,er,RastleFiller,1.42783,0.15468,0.35616,1104,3.04297,7.0067,7.01,15,5,7,202,4,CW_L,Large,Low
mad,madness,madness,ness,FORD,13.2074,1.12082,2.58078,1298,3.11327,7.16858,7.17,10,3,7,202,41,CW_L,Large,Low
punch,puncher,puncher,er,RastleFiller,0.0594928,-1.22554,-2.8219,325,2.51188,5.78383,5.78,17,5,7,202,1,CW_L,Large,Low
sail,sailor,sailor,or,RastleFiller,5.88978,0.7701,1.77322,740,2.86923,6.60665,6.61,17,4,6,202,43,CW_L,Large,Low
shame,shameful,shameful,ful,FORD,5.59232,0.74759,1.72139,993,2.99695,6.90073,6.9,13,5,8,202,19,CW_L,Large,Low
spell,speller,speller,er,RastleFiller,0.0594928,-1.22554,-2.8219,781,2.89265,6.66058,6.66,10,5,7,202,3,CW_L,Large,Low
swim,swimmer,swimmer,er,FORD,2.37971,0.37652,0.86698,1145,3.05881,7.04316,7.04,11,4,7,202,5,CW_L,Large,Low
verb,verbal,verbal,al,RastleFiller,12.4935,1.09668,2.52521,423,2.62634,6.04737,6.05,22,4,6,202,50,CW_L,Large,Low
weed,weedy,weedy,y,Graves,1.18986,0.0755,0.17384,729,2.86273,6.59167,6.59,17,4,5,202,48,CW_L,Large,Low
amaze,amazement,amazement,ment,FORD,10.5897,1.02488,2.35988,878,2.94349,6.77765,6.78,4,5,9,201,39,CW_S,Small,Low
amuse,amusement,amusement,ment,FORD,10.5897,1.02488,2.35988,857,2.93298,6.75344,6.75,3,5,9,201,38,CW_S,Small,Low
angel,angelic,angelic,ic,Rastle,2.08225,0.31853,0.73345,567,2.75358,6.34036,6.34,7,5,7,201,25,CW_S,Small,Low
beard,bearded,bearded,ed,Rastle,7.31761,0.86437,1.99028,578,2.76193,6.35957,6.36,7,5,7,201,8,CW_S,Small,Low
bold,boldness,boldness,ness,RastleFiller,1.84428,0.26583,0.61209,379,2.57864,5.93754,5.94,7,4,8,201,41,CW_S,Small,Low
boss,bossy,bossy,y,Graves,1.90377,0.27961,0.64384,551,2.74115,6.31173,6.31,6,4,5,201,49,CW_S,Small,Low
chill,chilly,chilly,y,RastleFiller,5.47333,0.73825,1.69989,488,2.68842,6.19032,6.19,7,5,6,201,48,CW_S,Small,Low
dense,densely,densely,ly,FORD,2.55819,0.40793,0.9393,655,2.81624,6.48464,6.48,7,5,7,201,32,CW_S,Small,Low
detect,detectable,detectable,able,XuTaft,1.6063,0.20583,0.47393,982,2.99211,6.88959,6.89,7,6,10,201,1,CW_S,Small,Low
diet,dietary,dietary,ary,Rastle,6.06826,0.78306,1.80307,1181,3.07225,7.07412,7.07,6,4,7,201,6,CW_S,Small,Low
dull,dullness,dullness,ness,XuTaft,1.42783,0.15468,0.35616,703,2.84696,6.55536,6.56,5,4,8,201,43,CW_S,Small,Low
grim,grimly,grimly,ly,FORD,7.43659,0.87137,2.00641,552,2.74194,6.31355,6.31,6,4,6,201,31,CW_S,Small,Low
harm,harmless,harmless,less,FORD,14.3378,1.15648,2.6629,1101,3.04179,7.00397,7,7,4,8,201,29,CW_S,Small,Low
jail,jailer,jailer,er,RastleFiller,1.30884,0.11689,0.26914,678,2.83123,6.51915,6.52,5,4,6,201,13,CW_S,Small,Low
lend,lender,lender,er,FORD,0.416449,-0.38044,-0.87599,505,2.70329,6.22456,6.22,3,4,6,201,11,CW_S,Small,Low
magic,magical,magical,al,RastleFiller,13.3264,1.12471,2.58975,1014,3.00604,6.92166,6.92,5,5,7,201,4,CW_S,Small,Low
mild,mildness,mildness,ness,FORD,0.832899,-0.07941,-0.18284,676,2.82995,6.51619,6.52,4,4,8,201,42,CW_S,Small,Low
moss,mossy,mossy,y,Graves,0.713913,-0.14635,-0.33699,149,2.17319,5.00395,5,3,4,5,201,47,CW_S,Small,Low
neat,neatly,neatly,ly,FORD,21.7149,1.33676,3.078,924,2.96567,6.82871,6.83,3,4,6,201,33,CW_S,Small,Low
peak,peaking,peaking,ing,RastleFiller,0.178478,-0.74842,-1.72329,546,2.73719,6.30262,6.3,6,4,7,201,28,CW_S,Small,Low
raid,raider,raider,er,RastleFiller,1.24935,0.09668,0.22262,505,2.70329,6.22456,6.22,4,4,6,201,12,CW_S,Small,Low
thrust,thruster,thruster,er,Graves,0.178478,-0.74842,-1.72329,584,2.76641,6.3699,6.37,4,6,8,201,24,CW_S,Small,Low
toast,toaster,toaster,er,Rastle,0.65442,-0.18414,-0.42401,339,2.5302,5.826,5.83,6,5,7,201,10,CW_S,Small,Low
toss,tossing,tossing,ing,RastleFiller,4.99739,0.69874,1.60892,407,2.60959,6.00881,6.01,5,4,7,201,26,CW_S,Small,Low
tutor,tutoring,tutoring,ing,RastleFiller,0.237971,-0.62348,-1.43561,499,2.6981,6.21261,6.21,5,5,8,201,27,CW_S,Small,Low
widow,widowed,widowed,ed,RastleFiller,3.2721,0.51483,1.18543,499,2.6981,6.21261,6.21,5,5,7,201,7,CW_S,Small,Low