Participant Number,spl_cor,spl_inc,spl_cor-inc,vcb_cor,vcb_inc,vcb_all,art_cor,art_inc,art_cor-inc
11,64,16,48,46,4,50,40,26,14
12,71,9,62,34,16,50,39,27,12
13,62,18,44,43,7,50,42,24,18
101,55,25,30,33,17,50,40,26,14
103,69,11,58,41,9,50,48,18,30
104,62,18,44,42,8,50,41,25,16
105,64,16,48,32,18,50,45,21,24
106,77,3,74,44,6,50,42,24,18
107,68,12,56,38,12,50,39,27,12
108,69,11,58,42,8,50,44,22,22
109,70,10,60,44,6,50,44,22,22
110,68,12,56,29,21,50,42,24,18
111,66,14,52,37,13,50,41,25,16
112,69,11,58,37,13,50,38,28,10
113,63,17,46,48,2,50,53,13,40
114,51,29,22,32,18,50,38,28,10
115,64,16,48,45,5,50,39,27,12
116,64,16,48,46,4,50,43,23,20
117,63,17,46,35,15,50,30,36,-6
118,67,13,54,46,4,50,44,22,22
119,61,19,42,43,7,50,49,17,32
120,55,25,30,42,8,50,42,24,18
121,68,12,56,40,10,50,40,26,14
122,61,19,42,31,19,50,36,30,6
123,68,12,56,48,2,50,44,22,22
124,64,16,48,48,2,50,50,16,34
126,67,13,54,48,2,50,39,27,12
125,71,9,62,48,2,50,48,18,30
127,66,14,52,32,18,50,50,16,34
128,70,10,60,43,7,50,49,17,32
129,52,28,24,48,2,50,41,25,16
130,69,11,58,49,1,50,49,17,32
131,61,19,42,31,19,50,36,30,6
132,66,14,52,33,17,50,43,23,20
133,78,2,76,49,1,50,62,4,58
134,71,9,62,46,4,50,49,17,32
135,76,4,72,41,9,50,41,25,16
136,67,13,54,34,16,50,43,23,20
137,58,22,36,44,6,50,47,19,28
138,61,19,42,44,6,50,45,21,24
139,70,10,60,40,10,50,47,19,28
140,71,9,62,44,6,50,43,23,20
141,59,21,38,40,10,50,41,25,16
142,60,20,40,49,1,50,44,22,22
143,55,25,30,30,20,50,39,27,12
144,62,18,44,45,5,50,46,20,26
145,61,19,42,36,14,50,38,28,10
146,74,6,68,39,11,50,41,25,16
147,75,5,70,37,13,50,40,26,14
148,0,0,0,NA,NA,NA,0,0,0
149,NA,NA,NA,NA,NA,NA,NA,NA,NA
150,61,19,42,46,4,50,42,24,18
151,57,23,34,0,0,0,39,27,12
152,62,18,44,43,7,50,NA,NA,NA
153,74,6,68,49,1,50,56,10,46
154,76,4,72,44,6,50,39,27,12
155,58,22,36,41,9,50,45,21,24
156,63,17,46,34,16,50,38,28,10
157,60,20,40,37,13,50,41,25,16
158,54,26,28,33,17,50,38,28,10
159,64,16,48,47,3,50,52,14,38
160,61,19,42,40,10,50,44,22,22
161,0,0,0,27,23,50,0,0,0
162,64,16,48,0,0,0,0,0,0
163,58,22,36,44,6,50,49,17,32
164,58,22,36,0,0,0,42,24,18
164,0,0,0,0,0,0,42,24,18
165,54,26,28,33,17,50,40,26,14
167,57,23,34,33,17,50,41,25,16
168,66,14,52,41,9,50,44,22,22
169,66,14,52,44,6,50,43,23,20
170,63,17,46,42,8,50,43,23,20
171,62,18,44,48,2,50,37,29,8
172,55,25,30,40,10,50,44,22,22
173,60,20,40,46,4,50,44,22,22
174,69,11,58,42,8,50,48,18,30
175,62,18,44,41,9,50,38,28,10
176,72,8,64,45,5,50,37,29,8
177,66,14,52,47,3,50,51,15,36