SubjID,Art_zscore,spell_zscore ,vocab_zscore,sz_vz_ratio,Order,Type
S101,-0.128530304,-0.440556045,-0.467871455,0.941617704,52,Semantic
S103,0.662425414,0.525316268,0.251930783,2.085161096,65,Semantic
S104,-0.029660839,0.042380112,0.341906063,0.123952501,34,Ortho
S105,0.36581702,0.180361871,-0.557846734,-0.323317965,19,Ortho
S106,0.069208625,1.077243304,0.521856623,2.064251478,64,Semantic
S107,-0.227399769,0.456325389,-0.017995056,-25.35837566,1,Ortho
S108,0.266947555,0.525316268,0.341906063,1.536434492,62,Semantic
S109,0.266947555,0.594307148,0.521856623,1.138832243,56,Semantic
S110,0.069208625,0.456325389,-0.827772574,-0.551269036,15,Ortho
S111,-0.029660839,0.31834363,-0.107970336,-2.948436047,4,Ortho
S112,-0.326269234,0.525316268,-0.107970336,-4.865375891,3,Ortho
S113,1.156772738,0.111370991,0.881757742,0.126305657,35,Ortho
S114,-0.326269234,-0.716519563,-0.557846734,1.284438034,60,Semantic
S115,-0.227399769,0.180361871,0.611831902,0.294789909,42,Semantic
S116,0.16807809,0.180361871,0.701807182,0.256996331,40,Semantic
S117,-1.117224952,0.111370991,-0.287920895,-0.386811076,18,Ortho
S118,0.266947555,0.387334509,0.701807182,0.551910153,45,Semantic
S119,0.761294879,-0.026610768,0.431881343,-0.061615924,23,Ortho
S12,-0.227399769,0.663298027,-0.377896175,-1.755238796,5,Ortho
S120,0.069208625,-0.440556045,0.341906063,-1.28852949,6,Ortho
S122,-0.128530304,-0.026610768,-0.647822014,0.041077282,27,Ortho
S123,-0.524008163,0.456325389,0.881757742,0.517517871,43,Semantic
S124,0.266947555,0.180361871,0.881757742,0.2045481,38,Semantic
S125,0.860164344,0.663298027,0.881757742,0.752245198,48,Semantic
S127,0.662425414,0.31834363,-0.557846734,-0.570665041,14,Ortho
S128,-0.227399769,0.594307148,0.431881343,1.37608896,61,Semantic
S129,0.860164344,-0.647528683,0.881757742,-0.734361212,11,Ortho
S13,0.069208625,0.042380112,0.431881343,0.098129063,32,Ortho
S130,0.761294879,0.525316268,0.971733021,0.540597321,44,Semantic
S131,-0.029660839,-0.026610768,-0.647822014,0.041077282,28,Ortho
S132,0.761294879,0.31834363,-0.467871455,-0.680408318,12,Ortho
S133,-0.524008163,1.146234184,0.971733021,1.179577269,57,Semantic
S134,0.16807809,0.663298027,0.701807182,0.945128583,53,Semantic
S135,2.046597921,1.008252425,0.251930783,4.002100941,67,Semantic
S136,0.761294879,0.387334509,-0.377896175,-1.024975999,8,Ortho
S137,-0.029660839,-0.233583406,0.521856623,-0.447600732,16,Ortho
S138,0.16807809,-0.026610768,0.521856623,-0.050992488,25,Ortho
S139,0.563555949,0.594307148,0.161955504,3.66957056,66,Semantic
S140,0.36581702,0.663298027,0.521856623,1.271034991,59,Semantic
S141,0.563555949,-0.164592527,0.161955504,-1.016282394,9,Ortho
S142,0.16807809,-0.095601647,0.971733021,-0.098382627,22,Ortho
S143,-0.029660839,-0.440556045,-0.737797294,0.597123422,46,Semantic
S144,0.266947555,0.042380112,0.611831902,0.069267574,30,Ortho
S145,-0.227399769,-0.026610768,-0.197945615,0.134434742,37,Semantic
S146,0.464686484,0.870270666,0.071980224,12.09041345,70,Semantic
S147,-0.326269234,0.939261545,-0.107970336,-8.699255581,2,Ortho
S148,-0.029660839,-4.235054418,-3.437055687,1.232175095,58,Semantic
S150,-0.128530304,-0.026610768,0.701807182,-0.037917491,26,Ortho
S151,-4.083308895,-0.302574286,-3.437055687,0.088032989,31,Ortho
S152,0.069208625,0.042380112,0.431881343,0.098129063,33,Ortho
S153,-0.227399769,0.870270666,0.971733021,0.895586181,50,Semantic
S154,1.453381132,1.008252425,0.521856623,1.93204873,63,Semantic
S155,-0.227399769,-0.233583406,0.251930783,-0.927172945,10,Ortho
S156,0.36581702,0.111370991,-0.377896175,-0.294713201,20,Ortho
S157,-0.326269234,-0.095601647,-0.107970336,0.885443643,49,Semantic
S158,-0.029660839,-0.509546924,-0.467871455,1.089074615,54,Semantic
S159,-0.326269234,0.180361871,0.791782462,0.227792202,39,Semantic
S160,1.057903273,-0.026610768,0.161955504,-0.16430913,21,Ortho
S161,0.266947555,-4.235054418,-1.007723133,4.2025972,68,Semantic
S162,-4.083308895,0.180361871,-3.437055687,-0.052475691,24,Ortho
S163,-4.083308895,-0.233583406,0.521856623,-0.447600732,17,Ortho
S164,0.761294879,-0.233583406,-3.437055687,0.067960321,29,Ortho
S165,0.069208625,-4.235054418,-0.467871455,9.051747816,69,Semantic
S166,-0.128530304,-0.509546924,-0.467871455,1.089074615,55,Semantic
S167,-0.029660839,-0.302574286,0.251930783,-1.201021494,7,Ortho
S168,0.266947555,0.31834363,0.521856623,0.610021251,47,Semantic
S169,0.16807809,0.31834363,0.341906063,0.931085067,51,Semantic
S170,0.16807809,0.111370991,0.881757742,0.126305657,36,Semantic
S171,-0.425138699,0.042380112,0.161955504,0.261677503,41,Semantic
S172,0.266947555,-0.440556045,0.701807182,-0.627745136,13,Ortho