SubjID,ART,Spelling,Vocabulary,Sex
101,7,55,33,Male
103,15,69,41,Female
104,8,62,42,Female
105,12,64,32,Female
106,9,77,44,Female
107,6,68,38,Female
108,11,69,42,Female
109,11,70,44,Female
110,9,68,29,Female
111,8,66,37,Female
112,5,69,37,Female
113,20,63,48,Female
114,5,51,32,Male
115,6,64,45,Female
116,10,64,46,Female
117,-3,63,35,Male
118,11,67,46,Female
119,16,61,43,Male
120,9,55,42,Female
122,3,61,31,Female
123,11,68,48,Female
124,17,64,48,Female
125,15,71,48,Female
126,6,,,
127,17,66,32,Female
128,16,70,43,Male
129,8,52,48,Female
131,3,61,31,Female
134,16,71,46,Female
135,8,76,41,Female
136,10,67,34,Female
137,14,58,44,Male
138,12,61,44,Male
139,14,70,40,Female
140,10,71,44,Female
141,8,59,40,Female
142,11,60,49,Male
143,6,55,30,Male
144,13,62,45,Female
145,5,61,36,Female
146,8,74,39,Female
147,7,75,37,Female
148,,,,Female
150,9,61,46,Female
151,6,57,,Female
152,,62,43,Female
153,23,74,49,Female
154,6,76,44,
155,12,58,41,Female
156,5,63,34,Male
157,8,60,37,Female
158,5,54,33,Female
159,19,64,47,Female
160,11,61,40,Female
161,,,27,Female
162,,64,,Male
163,16,58,44,Male
164,9,58,,Female
165,7,,33,Male
167,8,54,33,Female
168,11,57,41,Female
169,10,66,44,Female
170,10,66,42,Female
171,4,63,48,Female
172,11,62,40,Male
173,11,55,46,Female
174,15,60,42,Female
175,5,69,41,Male
176,4,62,45,Female
177,18,72,47,Male