SubjID,Art_Score,spell_Percent,vocab_percent
S12,0.606061,0.806818182,0.68
S13,0.590909,0.704545455,0.86
S101,0.636364,0.625,0.66
S103,0.606061,0.784090909,0.82
S104,0.727273,0.704545455,0.84
S105,0.621212,0.727272727,0.64
S106,0.681818,0.875,0.88
S107,0.636364,0.772727273,0.76
S108,0.590909,0.784090909,0.84
S109,0.666667,0.795454545,0.88
S110,0.666667,0.772727273,0.58
S111,0.636364,0.75,0.74
S112,0.621212,0.784090909,0.74
S113,0.575758,0.715909091,0.96
S114,0.80303,0.579545455,0.64
S115,0.575758,0.727272727,0.9
S116,0.590909,0.727272727,0.92
S117,0.651515,0.715909091,0.7
S118,0.454545,0.761363636,0.92
S119,0.666667,0.693181818,0.86
S120,0.742424,0.625,0.84
S122,0.636364,0.693181818,0.62
S123,0.606061,0.772727273,0.96
S124,0.545455,0.727272727,0.96
S125,0.666667,0.806818182,0.96
S127,0.757576,0.75,0.64
S128,0.727273,0.795454545,0.86
S129,0.590909,0.590909091,0.96
S130,0.757576,0.784090909,0.98
S131,0.742424,0.693181818,0.62
S132,0.621212,0.75,0.66
S133,0.742424,0.886363636,0.98
S134,0.545455,0.806818182,0.92
S135,0.651515,0.863636364,0.82
S136,0.939394,0.761363636,0.68
S137,0.742424,0.659090909,0.88
S138,0.621212,0.693181818,0.88
S139,0.651515,0.795454545,0.8
S140,0.712121,0.806818182,0.88
S141,0.681818,0.670454545,0.8
S142,0.712121,0.681818182,0.98
S143,0.651515,0.625,0.6
S144,0.621212,0.704545455,0.9
S145,0.666667,0.693181818,0.72
S146,0.590909,0.840909091,0.78
S147,0.69697,0.852272727,0.74
S148,0.575758,0,0
S150,0.621212,0.693181818,0.92
S151,0.606061,0.647727273,0
S152,0,0.704545455,0.86
S153,0.636364,0.840909091,0.98
S154,0.590909,0.863636364,0.88
S155,0.848485,0.659090909,0.82
S156,0.590909,0.715909091,0.68
S157,0.681818,0.681818182,0.74
S158,0.575758,0.613636364,0.66
S159,0.621212,0.727272727,0.94
S160,0.575758,0.693181818,0.8
S161,0.787879,0,0.54
S162,0.666667,0.727272727,0
S163,0,0.659090909,0.88
S164,0,0.659090909,0
S165,0.742424,0,0.66
S166,0.636364,0.613636364,0.66
S167,0.606061,0.647727273,0.82
S168,0.621212,0.75,0.88
S169,0.666667,0.75,0.84
S170,0.651515,0.715909091,0.96
S171,0.651515,0.704545455,0.8
S172,0.560606,0.625,0.92